Date,Product_ID,Product_Name,Salesperson_ID,Region,Units_Sold,Unit_Price,Total_Sale,Month,Salesperson_Experience
2022-01-30,1613,Product_1613,37,South,46,120,5520,1,6
2022-12-29,1276,Product_1276,15,East,130,112,14560,12,19
2022-07-17,1622,Product_1622,66,North,81,375,30375,7,28
2022-02-03,1498,Product_1498,98,East,18,299,5382,2,14
2021-12-30,1717,Product_1717,20,South,27,124,3348,12,10
2023-09-20,1777,Product_1777,30,North,75,466,34950,9,7
2021-11-09,1489,Product_1489,16,South,65,15,975,11,28
2023-06-26,1214,Product_1214,44,South,30,345,10350,6,20
2022-02-18,1102,Product_1102,59,South,104,276,28704,2,6
2023-01-29,1806,Product_1806,4,North,151,270,40770,1,25
2022-05-22,1589,Product_1589,31,East,59,280,16520,5,18
2022-09-15,1174,Product_1174,26,East,68,248,16864,9,22
2023-01-21,1853,Product_1853,41,North,58,473,27434,1,10
2022-01-15,1051,Product_1051,76,North,107,313,33491,1,10
2022-10-27,1296,Product_1296,2,North,104,235,24440,10,23
2022-01-27,1987,Product_1987,8,South,43,431,18533,1,20
2023-08-14,1174,Product_1174,78,East,42,248,10416,8,3
2022-02-27,1968,Product_1968,24,South,48,389,18672,2,7
2023-08-12,1342,Product_1342,40,North,139,291,40449,8,23
2022-08-24,1710,Product_1710,25,West,24,30,720,8,2
2022-09-28,1599,Product_1599,62,South,118,455,53690,9,21
2023-02-23,1170,Product_1170,58,South,84,410,34440,2,20
2022-12-07,1036,Product_1036,71,North,66,467,30822,12,1
2022-11-09,1634,Product_1634,32,North,81,75,6075,11,23
2022-04-29,1200,Product_1200,87,North,72,480,34560,4,11
2022-07-23,1063,Product_1063,46,East,131,483,63273,7,29
2022-03-29,1485,Product_1485,26,North,89,232,20648,3,22
2023-01-22,1454,Product_1454,42,East,41,46,1886,1,5
2022-08-29,1699,Product_1699,7,West,2,314,628,8,1
2021-11-10,1726,Product_1726,56,West,104,316,32864,11,27
2022-06-29,1408,Product_1408,47,North,11,269,2959,6,20
2023-05-03,1886,Product_1886,50,South,100,170,17000,5,0
2023-02-06,1754,Product_1754,45,West,13,45,585,2,11
2021-12-17,1149,Product_1149,68,North,65,285,18525,12,25
2023-03-14,1501,Product_1501,44,South,79,163,12877,3,20
2023-09-01,1938,Product_1938,25,South,42,58,2436,9,2
2023-02-07,1635,Product_1635,52,East,4,103,412,2,21
2023-09-19,1966,Product_1966,18,West,18,397,7146,9,28
2022-04-27,1709,Product_1709,7,South,61,405,24705,4,1
2023-09-06,1547,Product_1547,22,North,12,386,4632,9,11
2023-05-05,1813,Product_1813,4,South,18,47,846,5,25
2023-05-09,1277,Product_1277,29,West,104,64,6656,5,24
2022-06-20,1034,Product_1034,88,South,1,124,124,6,16
2023-03-08,1624,Product_1624,40,South,60,489,29340,3,23
2022-02-27,1174,Product_1174,52,North,57,248,14136,2,21
2023-02-16,1032,Product_1032,60,North,25,468,11700,2,26
2023-07-28,1724,Product_1724,41,West,119,333,39627,7,10
2021-11-09,1714,Product_1714,76,South,30,23,690,11,10
2022-04-04,1396,Product_1396,73,South,44,248,10912,4,26
2022-07-20,1253,Product_1253,15,East,60,419,25140,7,19
2022-11-11,1567,Product_1567,77,South,11,41,451,11,30
2023-06-12,1322,Product_1322,57,South,95,308,29260,6,9
2022-08-31,1012,Product_1012,94,East,130,167,21710,8,27
2021-11-02,1049,Product_1049,99,South,46,108,4968,11,27
2022-06-18,1759,Product_1759,35,West,99,268,26532,6,15
2022-09-30,1232,Product_1232,90,North,106,400,42400,9,14
2023-05-07,1952,Product_1952,19,South,126,391,49266,5,29
2022-09-24,1993,Product_1993,21,South,139,95,13205,9,29
2022-01-19,1539,Product_1539,85,North,81,180,14580,1,14
2022-10-21,1615,Product_1615,13,North,18,180,3240,10,29
2023-01-17,1865,Product_1865,21,East,1,413,413,1,29
2022-12-21,1095,Product_1095,88,East,37,253,9361,12,16
2023-03-12,1342,Product_1342,26,East,68,291,19788,3,22
2021-11-23,1855,Product_1855,56,South,132,404,53328,11,27
2022-05-13,1192,Product_1192,31,South,4,446,1784,5,18
2022-01-08,1919,Product_1919,30,East,16,168,2688,1,7
2023-05-04,1510,Product_1510,24,North,44,492,21648,5,7
2022-11-11,1450,Product_1450,96,East,34,272,9248,11,18
2021-10-21,1124,Product_1124,30,North,40,40,1600,10,7
2022-11-13,1080,Product_1080,26,East,44,189,8316,11,22
2023-05-08,1006,Product_1006,82,East,49,276,13524,5,11
2022-02-02,1329,Product_1329,54,South,125,414,51750,2,22
2023-02-08,1082,Product_1082,76,West,114,357,40698,2,10
2023-09-22,1535,Product_1535,21,North,18,107,1926,9,29
2022-11-25,1904,Product_1904,23,East,93,217,20181,11,19
2023-10-19,1625,Product_1625,28,East,59,58,3422,10,24
2023-04-28,1526,Product_1526,81,North,29,439,12731,4,2
2022-03-30,1112,Product_1112,79,West,69,11,759,3,4
2022-05-09,1439,Product_1439,23,West,4,137,548,5,19
2022-07-16,1889,Product_1889,59,South,94,383,36002,7,6
2022-07-17,1853,Product_1853,53,West,103,473,48719,7,18
2023-01-18,1761,Product_1761,53,North,128,363,46464,1,18
2023-01-24,1656,Product_1656,34,East,6,330,1980,1,6
2023-10-16,1018,Product_1018,92,North,51,228,11628,10,20
2022-06-28,1008,Product_1008,68,West,4,79,316,6,25
2023-09-21,1831,Product_1831,12,North,99,161,15939,9,8
2022-08-11,1184,Product_1184,2,West,131,107,14017,8,23
2023-10-14,1037,Product_1037,25,North,20,12,240,10,2
2023-10-09,1722,Product_1722,88,East,94,190,17860,10,16
2022-09-22,1903,Product_1903,95,North,64,452,28928,9,6
2021-12-11,1133,Product_1133,68,South,81,244,19764,12,25
2022-05-24,1944,Product_1944,44,East,12,304,3648,5,20
2022-04-25,1101,Product_1101,34,East,84,471,39564,4,6
2022-11-03,1940,Product_1940,6,South,93,230,21390,11,17
2023-02-24,1148,Product_1148,95,South,78,295,23010,2,6
2021-11-29,1092,Product_1092,39,East,53,55,2915,11,3
2022-03-25,1801,Product_1801,50,East,6,75,450,3,0
2021-11-03,1139,Product_1139,24,South,49,296,14504,11,7
2021-12-23,1294,Product_1294,89,East,86,33,2838,12,24
2023-03-24,1863,Product_1863,5,South,27,27,729,3,27
2022-09-28,1773,Product_1773,54,East,47,61,2867,9,22
2022-02-25,1592,Product_1592,54,West,130,124,16120,2,22
2023-07-29,1543,Product_1543,10,West,14,57,798,7,13
2023-02-03,1187,Product_1187,82,East,32,135,4320,2,11
2021-12-21,1135,Product_1135,93,East,24,371,8904,12,17
2022-03-07,1165,Product_1165,75,North,46,213,9798,3,25
2023-03-02,1476,Product_1476,94,East,103,335,34505,3,27
2023-06-04,1990,Product_1990,69,North,37,384,14208,6,8
2022-11-15,1146,Product_1146,6,West,78,170,13260,11,17
2023-08-25,1244,Product_1244,78,South,65,448,29120,8,3
2022-12-12,1182,Product_1182,16,West,11,432,4752,12,28
2022-08-04,1008,Product_1008,60,East,7,79,553,8,26
2022-11-02,1435,Product_1435,14,East,109,414,45126,11,25
2023-02-21,1155,Product_1155,33,North,20,175,3500,2,20
2022-06-07,1829,Product_1829,69,South,97,364,35308,6,8
2021-11-29,1687,Product_1687,40,South,125,485,60625,11,23
2021-11-16,1113,Product_1113,78,West,102,162,16524,11,3
2022-03-03,1754,Product_1754,40,North,69,45,3105,3,23
2022-05-08,1166,Product_1166,9,South,12,186,2232,5,1
2021-11-21,1487,Product_1487,91,West,117,253,29601,11,19
2021-12-06,1436,Product_1436,67,West,80,116,9280,12,27
2023-03-06,1222,Product_1222,74,North,102,219,22338,3,14
2022-11-30,1190,Product_1190,48,East,117,325,38025,11,27
2023-05-16,1786,Product_1786,75,North,64,178,11392,5,25
2023-10-17,1800,Product_1800,98,North,105,151,15855,10,14
2022-01-26,1575,Product_1575,65,South,8,172,1376,1,6
2023-09-03,1793,Product_1793,10,West,3,163,489,9,13
2023-10-15,1172,Product_1172,6,West,71,88,6248,10,17
2023-04-19,1256,Product_1256,72,East,96,454,43584,4,11
2023-06-24,1714,Product_1714,62,East,16,23,368,6,21
