converted,GameLevel,NumGameDays,NumGameDays4Plus,NumInGameMessagesSent,NumSpaceHeroBadges,NumFriendRequestIgnored,NumFriends,AcquiredSpaceship,AcquiredIonWeapon,TimesLostSpaceship,TimesKilled,TimesCaptain,TimesNavigator,PurchasedCoinPackSmall,PurchasedCoinPackLarge,NumAdsClicked,DaysUser,UserConsole,UserHasOldOS
no,2,8,0,0,0,5,4,no,no,0,0,8,0,yes,no,3,1889,no,yes
no,5,15,0,179,0,50,362,yes,no,22,0,4,4,no,no,2,1308,yes,no
no,7,7,0,267,0,64,0,no,no,5,0,0,0,no,yes,1,3562,yes,no
no,4,4,0,36,0,0,0,no,no,0,0,0,0,no,no,2,2922,yes,no
no,8,17,0,222,10,63,20,yes,no,10,0,9,6,yes,no,4,2192,yes,no
no,10,18,2,0,2,6,56,no,no,1,0,0,0,no,yes,13,2313,yes,no
no,10,20,5,36,0,16,0,no,no,0,0,0,0,no,yes,9,1766,yes,no
no,3,5,0,128,0,3,5,no,no,6,0,0,0,no,no,8,3439,yes,no
no,7,11,0,39,0,34,8,no,no,6,0,0,1,no,no,9,3409,yes,no
no,5,18,0,77,1,1,33,no,no,0,0,0,0,no,no,1,1858,yes,no
no,9,9,7,12,0,32,16,yes,no,6,0,3,6,no,no,6,1613,yes,no
no,7,16,0,73,9,94,209,yes,no,3,0,0,0,no,no,24,2404,yes,no
yes,4,18,0,4,0,0,12,no,no,0,0,0,0,no,no,14,1978,yes,no
no,10,17,2,20,0,0,0,no,no,26,0,0,0,yes,no,6,2678,yes,no
no,5,16,13,0,0,0,0,yes,no,0,0,0,2,no,yes,9,3044,yes,no
no,4,12,0,204,0,16,0,no,no,2,0,1,0,no,yes,3,3166,yes,no
no,9,23,0,288,1,63,13,no,no,0,0,11,3,no,no,16,3715,yes,no
no,8,12,0,105,0,46,126,yes,no,4,0,0,0,yes,no,10,1674,yes,no
no,3,13,0,5,0,21,0,yes,no,0,0,0,19,no,no,0,3288,yes,no
no,7,17,0,324,0,92,262,yes,no,26,0,0,5,no,no,8,2404,yes,no
no,10,9,0,0,0,0,0,yes,no,0,0,0,0,yes,no,11,3013,no,no
no,6,23,0,316,0,44,0,no,no,20,0,0,0,yes,no,10,2039,yes,no
no,9,13,8,0,0,17,97,yes,no,0,0,0,0,no,no,35,2466,no,no
no,6,16,1,175,0,34,3,no,no,55,0,0,0,no,no,12,1736,yes,no
no,5,11,1,60,2,0,7,yes,no,2,0,0,1,yes,no,23,2588,no,no
no,9,15,2,80,8,53,18,yes,no,2,0,0,4,yes,no,4,2557,no,no
no,9,21,5,23,0,6,5,no,no,11,0,0,0,yes,no,14,2282,yes,no
no,2,5,0,0,0,0,2,no,no,3,0,0,0,no,no,2,2678,yes,no
no,9,14,1,0,0,0,172,no,no,0,0,4,11,no,no,35,2861,yes,no
no,7,22,0,45,2,8,109,no,no,0,0,0,0,no,no,3,2070,yes,no
no,9,20,0,95,3,21,23,yes,no,0,0,0,2,yes,no,6,2800,yes,no
yes,6,12,1,7,0,0,85,yes,no,0,0,0,0,no,yes,9,2313,no,no
yes,6,8,1,66,0,13,8,yes,no,0,0,0,3,no,no,12,2800,yes,no
no,9,22,16,0,8,62,202,yes,no,0,0,0,0,yes,no,6,2223,yes,no
no,6,17,13,211,0,78,43,no,no,4,0,0,0,yes,no,4,3562,yes,no
no,10,12,4,0,0,0,0,no,no,0,0,1,0,no,no,9,3227,yes,no
no,8,17,5,168,0,1,481,no,no,6,0,0,22,yes,no,3,2647,yes,no
no,2,1,0,9,0,29,43,no,no,0,0,0,0,yes,yes,10,2557,no,no
yes,6,13,0,312,1,56,19,no,no,0,0,0,0,yes,no,15,3350,yes,no
no,6,12,0,29,0,14,2,no,no,9,0,0,0,no,no,10,2557,yes,no
no,5,13,0,49,0,61,9,yes,no,4,0,0,0,yes,no,8,1492,yes,no
no,8,15,2,186,0,63,105,no,no,1,0,0,0,no,no,9,1948,yes,no
no,5,10,0,25,0,10,1,no,no,0,0,0,0,no,yes,6,2678,yes,no
no,8,19,2,61,0,0,0,yes,no,30,0,0,0,no,no,10,3500,yes,no
no,2,11,0,0,0,0,0,no,no,0,0,77,0,no,no,8,1889,yes,no
no,8,21,11,102,0,2,0,yes,no,0,0,0,0,no,no,2,3074,yes,no
no,10,24,10,140,0,101,109,yes,no,15,0,0,21,yes,no,1,2131,yes,no
no,7,11,4,4,0,7,0,yes,no,0,0,0,0,no,no,7,3288,no,no
no,7,9,0,0,0,0,0,yes,no,0,0,0,0,no,no,0,2162,yes,no
yes,6,2,0,0,0,0,0,no,no,0,0,0,0,no,no,7,1917,no,no
no,6,1,0,22,0,4,0,no,no,8,0,0,0,no,no,10,2254,yes,no
