converted,GameLevel,NumGameDays,NumGameDays4Plus,NumInGameMessagesSent,NumSpaceHeroBadges,NumFriendRequestIgnored,NumFriends,AcquiredSpaceship,AcquiredIonWeapon,TimesLostSpaceship,TimesKilled,TimesCaptain,TimesNavigator,PurchasedCoinPackSmall,PurchasedCoinPackLarge,NumAdsClicked,DaysUser,UserConsole,UserHasOldOS
no,7,18,0,124,0,81,0,yes,no,8,0,0,4,no,yes,3,2101,no,no
no,10,3,2,60,0,18,479,no,no,10,7,0,0,yes,no,7,1644,yes,no
no,2,1,0,0,0,0,0,no,no,0,0,0,2,no,no,8,3197,yes,yes
no,2,11,1,125,0,73,217,no,no,0,0,0,0,yes,no,6,913,no,no
no,8,15,0,0,0,6,51,yes,no,0,0,2,1,yes,no,21,2009,yes,no
no,10,18,0,0,0,0,0,no,no,0,0,0,0,yes,no,6,3288,yes,no
no,5,1,0,0,0,1,0,no,no,0,0,0,0,no,no,1,1978,no,no
no,10,21,0,98,0,0,0,no,no,8,0,0,0,no,no,6,2496,yes,no
no,7,12,0,15,0,11,0,no,no,15,0,0,0,no,no,1,3562,yes,no
no,8,19,2,293,0,12,10,no,no,8,0,0,0,yes,no,17,2678,yes,no
no,7,16,0,47,0,50,79,no,no,0,0,0,0,no,no,7,2131,yes,no
no,10,18,0,18,0,17,3,no,no,6,0,0,0,yes,no,20,3135,yes,no
no,7,23,0,104,0,95,21,no,no,0,0,0,0,no,no,6,2588,yes,no
no,6,2,0,8,0,0,0,no,no,0,0,0,0,no,yes,10,2922,yes,no
no,4,15,0,0,0,19,96,no,no,0,0,0,0,yes,yes,18,2223,yes,no
no,8,8,0,32,0,36,47,no,no,2,0,0,2,no,no,5,2374,yes,no
no,7,9,0,99,0,2,14,yes,no,19,0,0,0,yes,no,6,3470,yes,no
no,1,5,0,89,0,78,30,no,no,8,0,0,0,no,yes,4,1066,yes,no
no,9,15,0,24,0,72,387,yes,no,0,0,0,0,no,no,5,3074,yes,no
no,7,5,0,0,0,0,44,yes,no,0,0,0,0,no,yes,22,2009,yes,no
no,4,5,0,0,0,0,156,no,no,0,0,0,0,yes,no,23,3592,no,no
no,9,5,0,130,0,63,0,no,no,0,0,0,0,no,no,9,2343,yes,no
no,6,19,2,0,0,52,1,yes,no,0,0,0,0,yes,no,16,3896,yes,no
no,5,13,0,0,0,21,0,no,no,0,0,0,0,no,yes,10,3470,yes,no
no,3,6,0,0,0,0,0,no,no,0,0,0,0,no,no,11,2496,yes,no
no,6,19,0,238,0,66,4,no,no,14,0,0,0,no,no,5,2678,yes,no
no,7,1,0,20,0,10,0,no,no,0,0,0,0,no,yes,6,2009,yes,no
no,10,24,5,20,0,60,0,yes,no,0,0,0,0,yes,no,1,2831,yes,no
no,7,15,5,56,9,22,30,yes,no,0,0,0,9,no,yes,3,3105,yes,no
no,7,2,0,0,3,0,101,no,no,0,0,0,1,no,no,8,2678,no,no
no,1,1,0,38,0,28,201,no,no,0,0,0,0,yes,no,9,2557,no,no
no,7,6,0,0,0,0,0,no,no,0,0,0,0,no,no,3,3592,yes,no
no,3,17,1,0,0,0,9,no,no,0,0,0,0,no,no,23,3013,yes,no
no,8,1,0,69,0,28,177,no,no,40,0,0,1,no,no,8,2009,yes,no
no,6,4,0,0,0,9,7,no,no,0,0,0,0,no,yes,21,2254,yes,no
no,2,3,0,283,0,11,0,no,no,0,0,0,0,no,yes,1,2313,yes,no
no,5,18,16,0,0,0,88,yes,no,7,0,21,12,yes,yes,11,2039,yes,no
no,5,12,0,0,0,1,50,no,no,0,0,0,0,yes,no,8,2708,yes,yes
no,8,8,0,20,0,0,124,yes,no,0,0,13,0,no,yes,24,2223,no,no
no,2,5,0,0,0,0,175,no,no,0,0,0,0,no,no,1,2922,yes,no
no,7,7,1,36,0,28,1,yes,no,4,0,0,1,no,no,11,2162,yes,no
no,5,1,0,0,0,0,0,no,no,0,0,0,0,no,yes,8,3227,yes,no
no,9,2,0,172,0,7,0,yes,no,0,0,0,0,no,no,3,1948,yes,no
no,10,21,15,135,0,55,15,no,no,0,0,0,18,no,yes,6,3562,no,no
no,6,3,0,4,0,0,1,no,no,4,0,0,0,no,no,7,2009,yes,no
no,4,21,0,0,0,0,0,no,no,2,0,0,0,no,no,5,2254,yes,yes
no,1,1,0,0,0,0,0,no,no,0,0,0,0,no,yes,1,2739,no,no
